,Address,Day,Details,Amount,Balance
5230,Mollie Jenkins (KaraKata Holdings Daily Wage),148,Wage,-224.0,183304.1
5231,1 4th Street Rent,149,Rent,-64.31962,183239.8
5232,Elite Jewels Revenue,148,Revenue,16000.0,199239.8
5233,48 1st Street Rent,149,Rent,-12.32229,199227.5
5234,42 3rd Street Rent,149,Rent,-38.02306,199189.5
5235,30 4th Avenue Rent,149,Rent,-85.7595,199103.7
5236,59 3rd Street Rent,149,Rent,-75.99196,199027.7
5237,1 5th Street Rent,149,Rent,-52.13275,198975.6
5238,Katalytica Revenue,148,Revenue,6000.0,204975.6
5239,7 3rd Avenue Rent,149,Rent,-42.2027,204933.4
5240,Karvin Kueen Revenue,148,Revenue,2210.0,207143.4
5241,Delivery from United Ocean Import ,149,ImportDelivery,-33549.21,173594.2
5242,Marketing campaigns for Elite Jewels,149,Marketing,-500.0,173094.2
5243,Marketing campaigns for Katalytica,149,Marketing,-500.0,172594.2
5244,Marketing campaigns for Karvin Kueen,149,Marketing,-500.0,172094.2
5245,Evie Jones (Katalytica Daily Wage),149,Wage,-448.0,171646.2
5246,Lily Barton (Katalytica Daily Wage),149,Wage,-344.0,171302.2
5247,Zoe Gomez (Elite Jewels Daily Wage),149,Wage,-256.0,171046.2
5248,Tommy Brooks (Katalytica Daily Wage),149,Wage,-44.0,171002.2
5249,Christian Hall (KaraKata Holdings Daily Wage),149,Wage,-184.0,170818.2
5250,Merit Johnson (KaraKata Holdings Daily Wage),149,Wage,-224.0,170594.2
5251,Lara Norris (Warehouse #1 Daily Wage),149,Wage,-153.9,170440.3
5252,Maria Willis (Karvin Kueen Daily Wage),149,Wage,-200.0,170240.3
5253,Lindsey Richardson (Elite Jewels Daily Wage),149,Wage,-125.0,170115.3
5254,Olivia Cox (Katalytica Daily Wage),149,Wage,-432.0,169683.3
5255,Maya Turner (Karvin Kueen Daily Wage),149,Wage,-32.0,169651.3
5256,Mollie Jenkins (KaraKata Holdings Daily Wage),149,Wage,-224.0,169427.3
5257,1 4th Street Rent,150,Rent,-64.31962,169363.0
5258,Elite Jewels Revenue,149,Revenue,16000.0,185363.0
5259,48 1st Street Rent,150,Rent,-12.32229,185350.6
5260,42 3rd Street Rent,150,Rent,-38.02306,185312.6
5261,30 4th Avenue Rent,150,Rent,-85.7595,185226.9
5262,59 3rd Street Rent,150,Rent,-75.99196,185150.9
5263,1 5th Street Rent,150,Rent,-52.13275,185098.8
5264,Katalytica Revenue,149,Revenue,6000.0,191098.8
5265,7 3rd Avenue Rent,150,Rent,-42.2027,191056.5
5266,Karvin Kueen Revenue,149,Revenue,1530.0,192586.5
5267,Marketing campaigns for Elite Jewels,150,Marketing,-500.0,192086.5
5268,Marketing campaigns for Katalytica,150,Marketing,-500.0,191586.5
5269,Marketing campaigns for Karvin Kueen,150,Marketing,-500.0,191086.5
5270,Zoe Gomez (Elite Jewels Daily Wage),150,Wage,-256.0,190830.5
5271,Tommy Brooks (Katalytica Daily Wage),150,Wage,-44.0,190786.5
5272,Christian Hall (KaraKata Holdings Daily Wage),150,Wage,-184.0,190602.5
5273,Merit Johnson (KaraKata Holdings Daily Wage),150,Wage,-224.0,190378.5
5274,Lara Norris (Warehouse #1 Daily Wage),150,Wage,-153.9,190224.6
5275,Grover Brown (KaraKata Holdings Daily Wage),150,Wage,-200.0,190024.6
5276,Maria Willis (Karvin Kueen Daily Wage),150,Wage,-200.0,189824.6
5277,Lindsey Richardson (Elite Jewels Daily Wage),150,Wage,-125.0,189699.6
5278,Olivia Cox (Katalytica Daily Wage),150,Wage,-432.0,189267.6
5279,Tristan Barker (Katalytica Daily Wage),150,Wage,-536.0,188731.6
5280,Maya Turner (Karvin Kueen Daily Wage),150,Wage,-32.0,188699.6
5281,Mollie Jenkins (KaraKata Holdings Daily Wage),150,Wage,-224.0,188475.6
5282,Oscar Evans (Katar Spirits Daily Wage),150,Wage,-46.0,188429.6
5283,Annabelle Stewart (Katar Spirits Daily Wage),150,Wage,-264.0,188165.6
5284,1 4th Street Rent,151,Rent,-64.31962,188101.3
5285,Elite Jewels Revenue,150,Revenue,16000.0,204101.3
5286,48 1st Street Rent,151,Rent,-12.32229,204089.0
5287,42 3rd Street Rent,151,Rent,-38.02306,204051.0
5288,30 4th Avenue Rent,151,Rent,-85.7595,203965.2
5289,Katar Spirits Revenue,150,Revenue,1017.0,204982.2
5290,59 3rd Street Rent,151,Rent,-75.99196,204906.2
5291,1 5th Street Rent,151,Rent,-52.13275,204854.1
5292,Katalytica Revenue,150,Revenue,6000.0,210854.1
5293,7 3rd Avenue Rent,151,Rent,-42.2027,210811.9
5294,Karvin Kueen Revenue,150,Revenue,1360.0,212171.9
5295,Marketing campaigns for Elite Jewels,151,Marketing,-500.0,211671.9
5296,Marketing campaigns for Katalytica,151,Marketing,-500.0,211171.9
5297,Marketing campaigns for Karvin Kueen,151,Marketing,-500.0,210671.9
5298,Purchase from El Gato Food Market,151,ItemPurchase,-80.0,210591.9
5299,Marketing campaigns for Katar Spirits,151,Marketing,-500.0,210091.9
5300,Evie Jones (Katalytica Daily Wage),151,Wage,-448.0,209643.9
5301,Tommy Brooks (Katalytica Daily Wage),151,Wage,-44.0,209599.9
5302,Christian Hall (KaraKata Holdings Daily Wage),151,Wage,-184.0,209415.9
5303,Merit Johnson (KaraKata Holdings Daily Wage),151,Wage,-224.0,209191.9
5304,Katherine Moss (Elite Jewels Daily Wage),151,Wage,-200.0,208991.9
5305,Lara Norris (Warehouse #1 Daily Wage),151,Wage,-153.9,208838.0
5306,Grover Brown (KaraKata Holdings Daily Wage),151,Wage,-200.0,208638.0
5307,Maria Willis (Karvin Kueen Daily Wage),151,Wage,-200.0,208438.0
5308,Lindsey Richardson (Elite Jewels Daily Wage),151,Wage,-125.0,208313.0
5309,Olivia Cox (Katalytica Daily Wage),151,Wage,-432.0,207881.0
5310,Tristan Barker (Katalytica Daily Wage),151,Wage,-536.0,207345.0
5311,Maya Turner (Karvin Kueen Daily Wage),151,Wage,-32.0,207313.0
5312,Mollie Jenkins (KaraKata Holdings Daily Wage),151,Wage,-224.0,207089.0
5313,Oscar Evans (Katar Spirits Daily Wage),151,Wage,-46.0,207043.0
5314,Annabelle Stewart (Katar Spirits Daily Wage),151,Wage,-198.0,206845.0
5315,Abbie Lopez (Katar Spirits Daily Wage),151,Wage,-56.0,206789.0
5316,1 4th Street Rent,152,Rent,-64.31962,206724.7
5317,Elite Jewels Revenue,151,Revenue,16000.0,222724.7
5318,48 1st Street Rent,152,Rent,-12.32229,222712.4
5319,42 3rd Street Rent,152,Rent,-38.02306,222674.3
5320,30 4th Avenue Rent,152,Rent,-85.7595,222588.6
5321,Katar Spirits Revenue,151,Revenue,2391.0,224979.6
5322,59 3rd Street Rent,152,Rent,-75.99196,224903.6
5323,1 5th Street Rent,152,Rent,-52.13275,224851.5
5324,Katalytica Revenue,151,Revenue,5000.0,229851.5
5325,7 3rd Avenue Rent,152,Rent,-42.2027,229809.3
5326,Karvin Kueen Revenue,151,Revenue,1870.0,231679.3
5327,Marketing campaigns for Elite Jewels,152,Marketing,-500.0,231179.3
5328,Marketing campaigns for Katar Spirits,152,Marketing,-500.0,230679.3
5329,Marketing campaigns for Katalytica,152,Marketing,-500.0,230179.3
5330,Marketing campaigns for Karvin Kueen,152,Marketing,-500.0,229679.3
5331,Subway Ride,152,SubwayRide,-3.0,229676.3
5332,Interior Designer,152,InteriorDesigner,-5200.0,224476.3
5333,Subway Ride,152,SubwayRide,-3.0,224473.3
5334,Evie Jones (Katalytica Daily Wage),152,Wage,-448.0,224025.3
5335,Tommy Brooks (Katalytica Daily Wage),152,Wage,-44.0,223981.3
5336,Christian Hall (KaraKata Holdings Daily Wage),152,Wage,-184.0,223797.3
5337,Merit Johnson (KaraKata Holdings Daily Wage),152,Wage,-224.0,223573.3
5338,Katherine Moss (Elite Jewels Daily Wage),152,Wage,-200.0,223373.3
5339,Lara Norris (Warehouse #1 Daily Wage),152,Wage,-153.9,223219.4
5340,Grover Brown (KaraKata Holdings Daily Wage),152,Wage,-200.0,223019.4
5341,Maria Willis (Karvin Kueen Daily Wage),152,Wage,-100.0,222919.4
5342,Lindsey Richardson (Elite Jewels Daily Wage),152,Wage,-100.0,222819.4
5343,Tristan Barker (Katalytica Daily Wage),152,Wage,-402.0,222417.4
5344,Maya Turner (Karvin Kueen Daily Wage),152,Wage,-160.0,222257.4
5345,Mollie Jenkins (KaraKata Holdings Daily Wage),152,Wage,-224.0,222033.4
5346,Oscar Evans (Katar Spirits Daily Wage),152,Wage,-46.0,221987.4
5347,Abbie Lopez (Katar Spirits Daily Wage),152,Wage,-224.0,221763.4
5348,1 4th Street Rent,153,Rent,-64.31962,221699.0
5349,Elite Jewels Revenue,152,Revenue,14000.0,235699.0
5350,48 1st Street Rent,153,Rent,-12.32229,235686.7
5351,42 3rd Street Rent,153,Rent,-38.02306,235648.7
5352,30 4th Avenue Rent,153,Rent,-85.7595,235562.9
5353,Katar Spirits Revenue,152,Revenue,4881.0,240443.9
5354,59 3rd Street Rent,153,Rent,-75.99196,240368.0
5355,1 5th Street Rent,153,Rent,-52.13275,240315.8
5356,Katalytica Revenue,152,Revenue,5400.0,245715.8
5357,7 3rd Avenue Rent,153,Rent,-42.2027,245673.6
5358,Karvin Kueen Revenue,152,Revenue,1870.0,247543.6
5359,Marketing campaigns for Elite Jewels,153,Marketing,-500.0,247043.6
5360,Marketing campaigns for Katar Spirits,153,Marketing,-500.0,246543.6
5361,Marketing campaigns for Katalytica,153,Marketing,-500.0,246043.6
5362,Marketing campaigns for Karvin Kueen,153,Marketing,-500.0,245543.6
5363,Evie Jones (Katalytica Daily Wage),153,Wage,-448.0,245095.6
5364,Tommy Brooks (Katalytica Daily Wage),153,Wage,-44.0,245051.6
5365,Katherine Moss (Elite Jewels Daily Wage),153,Wage,-200.0,244851.6
5366,Lara Norris (Warehouse #1 Daily Wage),153,Wage,-153.9,244697.7
5367,Maria Willis (Karvin Kueen Daily Wage),153,Wage,-100.0,244597.7
5368,Olivia Cox (Katalytica Daily Wage),153,Wage,-432.0,244165.7
5369,Maya Turner (Karvin Kueen Daily Wage),153,Wage,-160.0,244005.7
5370,Oscar Evans (Katar Spirits Daily Wage),153,Wage,-46.0,243959.7
5371,Abbie Lopez (Katar Spirits Daily Wage),153,Wage,-224.0,243735.7
5372,1 4th Street Rent,154,Rent,-64.31962,243671.4
5373,Elite Jewels Revenue,153,Revenue,20000.0,263671.4
5374,48 1st Street Rent,154,Rent,-12.32229,263659.1
5375,42 3rd Street Rent,154,Rent,-38.02306,263621.1
5376,30 4th Avenue Rent,154,Rent,-85.7595,263535.3
5377,Katar Spirits Revenue,153,Revenue,6177.0,269712.3
5378,59 3rd Street Rent,154,Rent,-75.99196,269636.3
5379,1 5th Street Rent,154,Rent,-52.13275,269584.2
5380,Katalytica Revenue,153,Revenue,10800.0,280384.2
5381,7 3rd Avenue Rent,154,Rent,-42.2027,280342.0
5382,Karvin Kueen Revenue,153,Revenue,2210.0,282552.0
5383,Marketing campaigns for Elite Jewels,154,Marketing,-500.0,282052.0
5384,Marketing campaigns for Katar Spirits,154,Marketing,-500.0,281552.0
5385,Marketing campaigns for Katalytica,154,Marketing,-500.0,281052.0
5386,Marketing campaigns for Karvin Kueen,154,Marketing,-500.0,280552.0
5387,Lily Barton (Katalytica Daily Wage),154,Wage,-258.0,280294.0
5388,Zoe Gomez (Elite Jewels Daily Wage),154,Wage,-160.0,280134.0
5389,Tommy Brooks (Katalytica Daily Wage),154,Wage,-44.0,280090.0
5390,Katherine Moss (Elite Jewels Daily Wage),154,Wage,-100.0,279990.0
5391,Lara Norris (Warehouse #1 Daily Wage),154,Wage,-153.9,279836.1
5392,Maria Willis (Karvin Kueen Daily Wage),154,Wage,-75.0,279761.1
5393,Lindsey Richardson (Elite Jewels Daily Wage),154,Wage,-100.0,279661.1
5394,Olivia Cox (Katalytica Daily Wage),154,Wage,-432.0,279229.1
5395,Tristan Barker (Katalytica Daily Wage),154,Wage,-536.0,278693.1
5396,Maya Turner (Karvin Kueen Daily Wage),154,Wage,-192.0,278501.1
5397,Oscar Evans (Katar Spirits Daily Wage),154,Wage,-46.0,278455.1
5398,Abbie Lopez (Katar Spirits Daily Wage),154,Wage,-224.0,278231.1
5399,1 4th Street Rent,155,Rent,-64.31962,278166.8
5400,Elite Jewels Revenue,154,Revenue,22500.0,300666.8
5401,48 1st Street Rent,155,Rent,-12.32229,300654.5
5402,42 3rd Street Rent,155,Rent,-38.02306,300616.4
5403,30 4th Avenue Rent,155,Rent,-85.7595,300530.7
5404,Katar Spirits Revenue,154,Revenue,5577.0,306107.7
5405,59 3rd Street Rent,155,Rent,-75.99196,306031.7
5406,1 5th Street Rent,155,Rent,-52.13275,305979.6
5407,Katalytica Revenue,154,Revenue,10800.0,316779.6
5408,7 3rd Avenue Rent,155,Rent,-42.2027,316737.4
5409,Karvin Kueen Revenue,154,Revenue,1870.0,318607.4
5410,Marketing campaigns for Elite Jewels,155,Marketing,-500.0,318107.4
5411,Marketing campaigns for Katar Spirits,155,Marketing,-500.0,317607.4
5412,Marketing campaigns for Katalytica,155,Marketing,-500.0,317107.4
5413,Marketing campaigns for Karvin Kueen,155,Marketing,-500.0,316607.4
5414,Bank negative interest rate,155,BankNegativeInterestRate,-34826.81,281780.6
5415,Freight Truck T1,155,VehicleBought,-98000.0,183780.6
5416,Recruitment Campaign,155,RecruitmentCampaign,-500.0,183280.6
5417,Recruitment Campaign,155,RecruitmentCampaign,-1000.0,182280.6
5418,30 2nd Avenue Deposit,155,Deposit,-35385.17,146895.4
5419,30 2nd Avenue Rent,155,Rent,-1158.506,145736.9
5420,59 3rd Street Rent,147,Rent,-75.99196,193323.9
5421,1 5th Street Rent,147,Rent,-52.13275,193271.8
5422,Katalytica Revenue,146,Revenue,12000.0,205271.8
5423,7 3rd Avenue Rent,147,Rent,-42.2027,205229.5
5424,Karvin Kueen Revenue,146,Revenue,3570.0,208799.5
5425,Marketing campaigns for Elite Jewels,147,Marketing,-500.0,208299.5
5426,Marketing campaigns for Katalytica,147,Marketing,-500.0,207799.5
5427,Marketing campaigns for Karvin Kueen,147,Marketing,-500.0,207299.5
5428,Subway Ride,147,SubwayRide,-3.0,207296.5
5429,Subway Ride,147,SubwayRide,-3.0,207293.5
5430,30 4th Avenue delivery from AJ Pederson & Son,147,DeliveryContract,-9698.0,197595.5
5431,30 4th Avenue delivery from IKA BOHAG,147,DeliveryContract,-2310.0,195285.5
5432,Undefined for 30 4th Avenue,147,DeliveryContractRefund,2310.0,197595.5
5433,Subway Ride,147,SubwayRide,-3.0,197592.5
5434,Subway Ride,147,SubwayRide,-3.0,197589.5
5435,Purchase from IKA BOHAG,147,ItemPurchase,-3540.0,194049.5
5436,Lily Barton (Katalytica Daily Wage),147,Wage,-258.0,193791.5
5437,Zoe Gomez (Elite Jewels Daily Wage),147,Wage,-160.0,193631.5
5438,Tommy Brooks (Katalytica Daily Wage),147,Wage,-44.0,193587.5
5439,Katherine Moss (Elite Jewels Daily Wage),147,Wage,-100.0,193487.5
5440,Lara Norris (Warehouse #1 Daily Wage),147,Wage,-153.9,193333.6
5441,Lindsey Richardson (Elite Jewels Daily Wage),147,Wage,-100.0,193233.6
5442,Olivia Cox (Katalytica Daily Wage),147,Wage,-432.0,192801.6
5443,Tristan Barker (Katalytica Daily Wage),147,Wage,-536.0,192265.6
5444,Maya Turner (Karvin Kueen Daily Wage),147,Wage,-192.0,192073.6
5445,1 4th Street Rent,148,Rent,-64.31962,192009.3
5446,Elite Jewels Revenue,147,Revenue,18000.0,210009.3
5447,48 1st Street Rent,148,Rent,-12.32229,209997.0
5448,42 3rd Street Rent,148,Rent,-38.02306,209959.0
5449,30 4th Avenue Rent,148,Rent,-85.7595,209873.2
5450,59 3rd Street Rent,148,Rent,-75.99196,209797.2
5451,1 5th Street Rent,148,Rent,-52.13275,209745.1
5452,Katalytica Revenue,147,Revenue,12000.0,221745.1
5453,7 3rd Avenue Rent,148,Rent,-42.2027,221702.9
5454,Karvin Kueen Revenue,147,Revenue,2805.0,224507.9
5455,Marketing campaigns for Elite Jewels,148,Marketing,-500.0,224007.9
5456,Marketing campaigns for Katalytica,148,Marketing,-500.0,223507.9
5457,Marketing campaigns for Karvin Kueen,148,Marketing,-500.0,223007.9
5458,Bank negative interest rate,148,BankNegativeInterestRate,-24530.87,198477.0
5459,Purchase from Square Appliances,148,ItemPurchase,-1300.0,197177.0
5460,Recruitment Campaign,148,RecruitmentCampaign,-1000.0,196177.0
5461,Subway Ride,148,SubwayRide,-3.0,196174.0
5462,Lace Global A investment,148,Investment,-10000.0,186174.0
5463,Subway Ride,148,SubwayRide,-3.0,186171.0
5464,Evie Jones (Katalytica Daily Wage),148,Wage,-448.0,185723.0
5465,Lily Barton (Katalytica Daily Wage),148,Wage,-344.0,185379.0
5466,Zoe Gomez (Elite Jewels Daily Wage),148,Wage,-256.0,185123.0
5467,Tommy Brooks (Katalytica Daily Wage),148,Wage,-44.0,185079.0
5468,Christian Hall (KaraKata Holdings Daily Wage),148,Wage,-184.0,184895.0
5469,Merit Johnson (KaraKata Holdings Daily Wage),148,Wage,-224.0,184671.0
5470,Lara Norris (Warehouse #1 Daily Wage),148,Wage,-153.9,184517.1
5471,Grover Brown (KaraKata Holdings Daily Wage),148,Wage,-200.0,184317.1
5472,Maria Willis (Karvin Kueen Daily Wage),148,Wage,-200.0,184117.1
5473,Lindsey Richardson (Elite Jewels Daily Wage),148,Wage,-125.0,183992.1
5474,Olivia Cox (Katalytica Daily Wage),148,Wage,-432.0,183560.1
5475,Maya Turner (Karvin Kueen Daily Wage),148,Wage,-32.0,183528.1
5476,Mollie Jenkins (KaraKata Holdings Daily Wage),148,Wage,-224.0,183304.1
5477,1 4th Street Rent,149,Rent,-64.31962,183239.8
5478,Elite Jewels Revenue,148,Revenue,16000.0,199239.8
5479,48 1st Street Rent,149,Rent,-12.32229,199227.5
5480,42 3rd Street Rent,149,Rent,-38.02306,199189.5
5481,30 4th Avenue Rent,149,Rent,-85.7595,199103.7
5482,59 3rd Street Rent,149,Rent,-75.99196,199027.7
5483,1 5th Street Rent,149,Rent,-52.13275,198975.6
5484,Katalytica Revenue,148,Revenue,6000.0,204975.6
5485,7 3rd Avenue Rent,149,Rent,-42.2027,204933.4
5486,Karvin Kueen Revenue,148,Revenue,2210.0,207143.4
5487,Delivery from United Ocean Import ,149,ImportDelivery,-33549.21,173594.2
5488,Marketing campaigns for Elite Jewels,149,Marketing,-500.0,173094.2
5489,Marketing campaigns for Katalytica,149,Marketing,-500.0,172594.2
5490,Marketing campaigns for Karvin Kueen,149,Marketing,-500.0,172094.2
5491,Evie Jones (Katalytica Daily Wage),149,Wage,-448.0,171646.2
5492,Lily Barton (Katalytica Daily Wage),149,Wage,-344.0,171302.2
5493,Zoe Gomez (Elite Jewels Daily Wage),149,Wage,-256.0,171046.2
5494,Tommy Brooks (Katalytica Daily Wage),149,Wage,-44.0,171002.2
5495,Christian Hall (KaraKata Holdings Daily Wage),149,Wage,-184.0,170818.2
5496,Merit Johnson (KaraKata Holdings Daily Wage),149,Wage,-224.0,170594.2
5497,Lara Norris (Warehouse #1 Daily Wage),149,Wage,-153.9,170440.3
5498,Maria Willis (Karvin Kueen Daily Wage),149,Wage,-200.0,170240.3
5499,Lindsey Richardson (Elite Jewels Daily Wage),149,Wage,-125.0,170115.3
5500,Olivia Cox (Katalytica Daily Wage),149,Wage,-432.0,169683.3
5501,Maya Turner (Karvin Kueen Daily Wage),149,Wage,-32.0,169651.3
5502,Mollie Jenkins (KaraKata Holdings Daily Wage),149,Wage,-224.0,169427.3
5503,1 4th Street Rent,150,Rent,-64.31962,169363.0
5504,Elite Jewels Revenue,149,Revenue,16000.0,185363.0
5505,48 1st Street Rent,150,Rent,-12.32229,185350.6
5506,42 3rd Street Rent,150,Rent,-38.02306,185312.6
5507,30 4th Avenue Rent,150,Rent,-85.7595,185226.9
5508,59 3rd Street Rent,150,Rent,-75.99196,185150.9
5509,1 5th Street Rent,150,Rent,-52.13275,185098.8
5510,Katalytica Revenue,149,Revenue,6000.0,191098.8
5511,7 3rd Avenue Rent,150,Rent,-42.2027,191056.5
5512,Karvin Kueen Revenue,149,Revenue,1530.0,192586.5
5513,Marketing campaigns for Elite Jewels,150,Marketing,-500.0,192086.5
5514,Marketing campaigns for Katalytica,150,Marketing,-500.0,191586.5
5515,Marketing campaigns for Karvin Kueen,150,Marketing,-500.0,191086.5
5516,Zoe Gomez (Elite Jewels Daily Wage),150,Wage,-256.0,190830.5
5517,Tommy Brooks (Katalytica Daily Wage),150,Wage,-44.0,190786.5
5518,Christian Hall (KaraKata Holdings Daily Wage),150,Wage,-184.0,190602.5
5519,Merit Johnson (KaraKata Holdings Daily Wage),150,Wage,-224.0,190378.5
5520,Lara Norris (Warehouse #1 Daily Wage),150,Wage,-153.9,190224.6
5521,Grover Brown (KaraKata Holdings Daily Wage),150,Wage,-200.0,190024.6
5522,Maria Willis (Karvin Kueen Daily Wage),150,Wage,-200.0,189824.6
5523,Lindsey Richardson (Elite Jewels Daily Wage),150,Wage,-125.0,189699.6
5524,Olivia Cox (Katalytica Daily Wage),150,Wage,-432.0,189267.6
5525,Tristan Barker (Katalytica Daily Wage),150,Wage,-536.0,188731.6
5526,Maya Turner (Karvin Kueen Daily Wage),150,Wage,-32.0,188699.6
5527,Mollie Jenkins (KaraKata Holdings Daily Wage),150,Wage,-224.0,188475.6
5528,Oscar Evans (Katar Spirits Daily Wage),150,Wage,-46.0,188429.6
5529,Annabelle Stewart (Katar Spirits Daily Wage),150,Wage,-264.0,188165.6
5530,1 4th Street Rent,151,Rent,-64.31962,188101.3
5531,Elite Jewels Revenue,150,Revenue,16000.0,204101.3
5532,48 1st Street Rent,151,Rent,-12.32229,204089.0
5533,42 3rd Street Rent,151,Rent,-38.02306,204051.0
5534,30 4th Avenue Rent,151,Rent,-85.7595,203965.2
5535,Katar Spirits Revenue,150,Revenue,1017.0,204982.2
5536,59 3rd Street Rent,151,Rent,-75.99196,204906.2
5537,1 5th Street Rent,151,Rent,-52.13275,204854.1
5538,Katalytica Revenue,150,Revenue,6000.0,210854.1
5539,7 3rd Avenue Rent,151,Rent,-42.2027,210811.9
5540,Karvin Kueen Revenue,150,Revenue,1360.0,212171.9
5541,Marketing campaigns for Elite Jewels,151,Marketing,-500.0,211671.9
5542,Marketing campaigns for Katalytica,151,Marketing,-500.0,211171.9
5543,Marketing campaigns for Karvin Kueen,151,Marketing,-500.0,210671.9
5544,Purchase from El Gato Food Market,151,ItemPurchase,-80.0,210591.9
5545,Marketing campaigns for Katar Spirits,151,Marketing,-500.0,210091.9
5546,Evie Jones (Katalytica Daily Wage),151,Wage,-448.0,209643.9
5547,Tommy Brooks (Katalytica Daily Wage),151,Wage,-44.0,209599.9
5548,Christian Hall (KaraKata Holdings Daily Wage),151,Wage,-184.0,209415.9
5549,Merit Johnson (KaraKata Holdings Daily Wage),151,Wage,-224.0,209191.9
5550,Katherine Moss (Elite Jewels Daily Wage),151,Wage,-200.0,208991.9
5551,Lara Norris (Warehouse #1 Daily Wage),151,Wage,-153.9,208838.0
5552,Grover Brown (KaraKata Holdings Daily Wage),151,Wage,-200.0,208638.0
5553,Maria Willis (Karvin Kueen Daily Wage),151,Wage,-200.0,208438.0
5554,Lindsey Richardson (Elite Jewels Daily Wage),151,Wage,-125.0,208313.0
5555,Olivia Cox (Katalytica Daily Wage),151,Wage,-432.0,207881.0
5556,Tristan Barker (Katalytica Daily Wage),151,Wage,-536.0,207345.0
5557,Maya Turner (Karvin Kueen Daily Wage),151,Wage,-32.0,207313.0
5558,Mollie Jenkins (KaraKata Holdings Daily Wage),151,Wage,-224.0,207089.0
5559,Oscar Evans (Katar Spirits Daily Wage),151,Wage,-46.0,207043.0
5560,Annabelle Stewart (Katar Spirits Daily Wage),151,Wage,-198.0,206845.0
5561,Abbie Lopez (Katar Spirits Daily Wage),151,Wage,-56.0,206789.0
5562,1 4th Street Rent,152,Rent,-64.31962,206724.7
5563,Elite Jewels Revenue,151,Revenue,16000.0,222724.7
5564,48 1st Street Rent,152,Rent,-12.32229,222712.4
5565,42 3rd Street Rent,152,Rent,-38.02306,222674.3
5566,30 4th Avenue Rent,152,Rent,-85.7595,222588.6
5567,Katar Spirits Revenue,151,Revenue,2391.0,224979.6
5568,59 3rd Street Rent,152,Rent,-75.99196,224903.6
5569,1 5th Street Rent,152,Rent,-52.13275,224851.5
5570,Katalytica Revenue,151,Revenue,5000.0,229851.5
5571,7 3rd Avenue Rent,152,Rent,-42.2027,229809.3
5572,Karvin Kueen Revenue,151,Revenue,1870.0,231679.3
5573,Marketing campaigns for Elite Jewels,152,Marketing,-500.0,231179.3
5574,Marketing campaigns for Katar Spirits,152,Marketing,-500.0,230679.3
5575,Marketing campaigns for Katalytica,152,Marketing,-500.0,230179.3
5576,Marketing campaigns for Karvin Kueen,152,Marketing,-500.0,229679.3
5577,Subway Ride,152,SubwayRide,-3.0,229676.3
5578,Interior Designer,152,InteriorDesigner,-5200.0,224476.3
5579,Subway Ride,152,SubwayRide,-3.0,224473.3
5580,Evie Jones (Katalytica Daily Wage),152,Wage,-448.0,224025.3
5581,Tommy Brooks (Katalytica Daily Wage),152,Wage,-44.0,223981.3
5582,Christian Hall (KaraKata Holdings Daily Wage),152,Wage,-184.0,223797.3
5583,Merit Johnson (KaraKata Holdings Daily Wage),152,Wage,-224.0,223573.3
5584,Katherine Moss (Elite Jewels Daily Wage),152,Wage,-200.0,223373.3
5585,Lara Norris (Warehouse #1 Daily Wage),152,Wage,-153.9,223219.4
5586,Grover Brown (KaraKata Holdings Daily Wage),152,Wage,-200.0,223019.4
5587,Maria Willis (Karvin Kueen Daily Wage),152,Wage,-100.0,222919.4
5588,Lindsey Richardson (Elite Jewels Daily Wage),152,Wage,-100.0,222819.4
5589,Tristan Barker (Katalytica Daily Wage),152,Wage,-402.0,222417.4
5590,Maya Turner (Karvin Kueen Daily Wage),152,Wage,-160.0,222257.4
5591,Mollie Jenkins (KaraKata Holdings Daily Wage),152,Wage,-224.0,222033.4
5592,Oscar Evans (Katar Spirits Daily Wage),152,Wage,-46.0,221987.4
5593,Abbie Lopez (Katar Spirits Daily Wage),152,Wage,-224.0,221763.4
5594,1 4th Street Rent,153,Rent,-64.31962,221699.0
5595,Elite Jewels Revenue,152,Revenue,14000.0,235699.0
5596,48 1st Street Rent,153,Rent,-12.32229,235686.7
5597,42 3rd Street Rent,153,Rent,-38.02306,235648.7
5598,30 4th Avenue Rent,153,Rent,-85.7595,235562.9
5599,Katar Spirits Revenue,152,Revenue,4881.0,240443.9
5600,59 3rd Street Rent,153,Rent,-75.99196,240368.0
5601,1 5th Street Rent,153,Rent,-52.13275,240315.8
5602,Katalytica Revenue,152,Revenue,5400.0,245715.8
5603,7 3rd Avenue Rent,153,Rent,-42.2027,245673.6
5604,Karvin Kueen Revenue,152,Revenue,1870.0,247543.6
5605,Marketing campaigns for Elite Jewels,153,Marketing,-500.0,247043.6
5606,Marketing campaigns for Katar Spirits,153,Marketing,-500.0,246543.6
5607,Marketing campaigns for Katalytica,153,Marketing,-500.0,246043.6
5608,Marketing campaigns for Karvin Kueen,153,Marketing,-500.0,245543.6
5609,Evie Jones (Katalytica Daily Wage),153,Wage,-448.0,245095.6
5610,Tommy Brooks (Katalytica Daily Wage),153,Wage,-44.0,245051.6
5611,Katherine Moss (Elite Jewels Daily Wage),153,Wage,-200.0,244851.6
5612,Lara Norris (Warehouse #1 Daily Wage),153,Wage,-153.9,244697.7
5613,Maria Willis (Karvin Kueen Daily Wage),153,Wage,-100.0,244597.7
